DBN,female_percent,male_percent,poverty_percent,avg_home_value_sqft,district_admin_code,grade8_english,grade8_math,regents_algebra,regents_english,regents_history_global,regents_living_environ,sat_reading,sat_math,sat_writing,college_readiness_index,cuny_2yr,cuny_4yr,college_career_readiness_index,enrollment,graduation_rate,college_nys_private,college_nys_public,college_out_of_state,asian_percent,black_percent,ell_percent,hispanic_percent,self-contained_percent,disability_percent,white_percent,cte_percent,arts_percent,ap_exams_percent_scoring_3plus,act_percent_took_exam,sat_percent_took_exam,post-secondary_enroll_rate,student_attendance_rate,school_environment_survey,teacher_attendance,principal_year_exp,zip_code,dropouts_percent,major_crimes,violation_offenses,school_day_length,sat_score_overall,regents_score_overall,population_diversity,grade8_proficiency,all_crime,label
1502M294,0.508379876614,0.491620123386,0.673184335232,1321.16666667,2.0,2.48,2.25,65.0,70.0,64.0,67.0,411.0,395.0,387.0,0.6,0.2,0.063,0.667,358.0,0.844,0.063,0.263,0.013,0.059,0.385,0.042,0.413,0.003,0.26,0.117,0.0,0.0,0.111,0.022,0.789,0.613,0.863,0.88,0.973,4.9,10002.0,0.0449438,732.0,506.0,405.0,1193.0,266.0,0.354139874941,4.73,1238.0,1
1502M296,0.721698105335,0.278301894665,0.886792480946,391.916666667,2.0,2.31,2.25,67.0,74.0,72.0,72.0,433.0,451.0,424.0,0.362,0.172,0.192,0.457,424.0,0.819,0.0,0.091,0.03,0.05,0.21,0.078,0.712,0.028,0.175,0.017,0.0,0.0,0.048,0.048,0.562,0.556,0.848,0.85,0.973,2.8,10019.0,0.0194175,732.0,506.0,405.0,1308.0,285.0,0.566221357071,4.56,1238.0,0
1502M298,0.605200946331,0.394799053669,0.806146562099,1321.16666667,2.0,2.6,2.47,67.0,82.0,72.0,77.0,435.0,430.0,427.0,0.265,0.189,0.126,0.408,423.0,0.878,0.2,0.126,0.105,0.137,0.281,0.012,0.454,0.002,0.116,0.019,0.0,0.0,0.092,0.633,0.878,0.758,0.927,0.88,0.97,11.0,10002.0,0.0102041,1208.0,608.0,375.0,1292.0,298.0,0.383189672004,5.07,1816.0,0
1502M300,0.301932364702,0.698067605495,0.794686019421,391.916666667,2.0,2.24,2.24,64.0,75.0,61.0,64.0,417.0,445.0,403.0,0.349,0.104,0.219,0.275,414.0,0.615,0.073,0.052,0.063,0.06,0.295,0.063,0.592,0.017,0.208,0.034,0.0,0.0,0.147,0.018,0.606,0.531,0.83,0.84,0.963,6.9,10019.0,0.074074074,2061.0,692.0,435.0,1265.0,264.0,0.459541689657,4.48,2753.0,0
1502M303,0.470443338156,0.529556632042,1.0,391.916666667,2.0,2.17,2.09,65.0,64.0,64.0,67.0,356.0,366.0,371.0,0.229,0.143,0.057,0.021,406.0,0.667,0.038,0.105,0.01,0.017,0.273,0.195,0.675,0.002,0.251,0.022,0.0,0.0,0.021,0.052,0.573,0.381,0.83,0.9,0.952,3.9,10019.0,0.15625,1208.0,608.0,385.0,1093.0,260.0,0.545005024795,4.26,1816.0,0
1502M305,0.580547094345,0.419452875853,0.808510661125,1321.16666667,2.0,2.35,2.22,64.0,74.0,65.0,66.0,395.0,389.0,381.0,0.244,0.267,0.2,0.256,329.0,0.872,0.033,0.217,0.067,0.058,0.419,0.033,0.492,0.003,0.188,0.027,0.0,0.0,0.141,0.038,0.808,0.783,0.859,0.8,0.977,1.0,10002.0,0.025974,1022.0,420.0,433.0,1165.0,269.0,0.425112094966,4.57,1442.0,0
1502M308,0.699738919735,0.300261110067,1.0,1321.16666667,2.0,2.38,2.22,66.0,77.0,66.0,73.0,428.0,418.0,415.0,0.198,0.169,0.138,0.244,383.0,0.674,0.062,0.185,0.077,0.086,0.282,0.042,0.569,0.026,0.3,0.031,0.0,0.0,0.0,0.128,0.651,0.646,0.897,0.79,0.969,10.0,10002.0,0.094117647,2394.0,1104.0,390.0,1261.0,282.0,0.43930785124,4.6,3498.0,0
1502M316,1.0,0.0,0.797530889511,1478.41666667,2.0,2.3,2.19,57.0,73.0,54.0,63.0,420.0,418.0,417.0,0.316,0.12,0.13,0.434,405.0,0.763,0.13,0.16,0.06,0.035,0.528,0.044,0.393,0.002,0.185,0.022,0.0,0.0,0.0,0.053,0.75,0.6,0.799,0.8,0.974,10.0,10004.0,0.0133333,2061.0,692.0,415.0,1255.0,247.0,0.454730032076,4.49,2753.0,0
1502M374,0.711320757866,0.288679242134,0.699999988079,1727.91666667,2.0,2.49,2.25,65.0,73.0,65.0,69.0,459.0,446.0,455.0,0.319,0.102,0.079,0.372,530.0,0.885,0.071,0.118,0.063,0.036,0.425,0.021,0.442,0.006,0.175,0.058,0.0,0.195,0.009,0.133,0.796,0.433,0.865,0.76,0.969,1.0,10003.0,0.0530973,2394.0,1104.0,435.0,1360.0,272.0,0.41217146118,4.74,3498.0,0
1502M376,0.576923072338,0.423076927662,0.443438917398,391.916666667,2.0,3.12,2.81,70.0,86.0,79.0,77.0,515.0,518.0,503.0,0.75,0.071,0.224,0.47,442.0,0.99,0.184,0.112,0.214,0.086,0.199,0.002,0.398,0.007,0.129,0.287,0.0,0.0,0.41,0.29,0.96,0.806,0.94,0.92,0.98,2.8,10013.0,0.0,2061.0,692.0,420.0,1536.0,312.0,0.305845467106,5.93,2753.0,1
