% Female,% Male,% Poverty,% of 4-year Cohort Taking SAT Math,2015_avg_home_value_sqft,Administrative District Code,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Average Score Regents Algebra,Average Score Regents Algebra 2/Trig,Average Score Regents Chemistry,Average Score Regents Earth Science,Average Score Regents English,Average Score Regents Geometry,Average Score Regents Global History,Average Score Regents Languages Other Than English,Average Score Regents Living Environment,Average Score Regents Physics,Average Score Regents US History,Average Score SAT Critical Reading,Average Score SAT Math,Average Score SAT Writing,CRI (Percentage of 4 year Cohort),CUNY 2-Year (6 months),CUNY 4-Year (6 months),College and Career Preparatory Course Index,DBN,Enrollment,Geographical District Code,"Metric Value - Graduation Rate, 4 year",NYS Private (6 months),NYS Public (6 months),Out of State (6 months),Percent Asian,Percent Black,Percent English Language Learners,Percent Hispanic,Percent Self-Contained,Percent Students with Disabilities,Percent White,Percentage Earning a Diploma with a CTE Endorsement,Percentage Earning a Diploma with an Arts Endorsement,Percentage Passing an Industry-Recognized Technical Assessment,Percentage of 4-year Cohort Taking ACT Math,Percentage of 4-year Cohort Taking SAT Math,Post-secondary Enrollment Rate (6 months),Public Service (6 months),Student Attendance Rate,Supportive Environment - Percent Positive,Teacher Attendance Rate,Vocational Program (6 months),Years of principal experience at this school,Zip,class_grad_year,dropouts_percent,end_time,school_type,start_time
0.51990634203,0.480093687773,0.784543335438,0.52,,2.0,2.47,2.36,63.0,44.0,,56.0,72.0,56.0,66.0,,65.0,,75.0,435.0,428.0,421.0,0.143,0.167,0.108,0.429,02M288,427.0,2.0,0.806,0.088,0.167,0.039,0.047,0.396,0.03,0.522,0.0,0.157,0.03,0.133,0.0,0.408,0.0,,0.588,0.0,0.885,0.81,0.959,0.0,11.0,10019.0,2015,0.070707071,2:30 PM,CTE School,7:40 AM
0.508379876614,0.491620123386,0.673184335232,0.789,1321.16666667,2.0,2.48,2.25,,,,,70.0,,,,,,,411.0,395.0,387.0,0.6,0.2,0.063,0.667,02M294,358.0,2.0,0.844,0.063,0.263,0.013,0.059,0.385,0.042,0.413,0.003,0.26,0.117,0.0,0.0,0.0,0.022,,0.613,0.0,0.863,0.88,0.973,0.0,4.9,10002.0,2015,0.0449438,2:45 PM,Consortium School,8:00 AM
0.721698105335,0.278301894665,0.886792480946,0.562,,2.0,2.31,2.25,67.0,43.0,55.0,57.0,74.0,64.0,72.0,96.0,72.0,,72.0,433.0,451.0,424.0,0.362,0.172,0.192,0.457,02M296,424.0,2.0,0.819,0.0,0.091,0.03,0.05,0.21,0.078,0.712,0.028,0.175,0.017,0.0,0.0,0.0,0.048,,0.556,0.0,0.848,0.85,0.973,0.0,2.8,10019.0,2015,0.0194175,3:45 PM,,9:00 AM
0.605200946331,0.394799053669,0.806146562099,0.878,1321.16666667,2.0,2.6,2.47,67.0,59.0,64.0,64.0,82.0,63.0,72.0,,77.0,,87.0,435.0,430.0,427.0,0.265,0.189,0.126,0.408,02M298,423.0,2.0,0.878,0.2,0.126,0.105,0.137,0.281,0.012,0.454,0.002,0.116,0.019,0.0,0.0,0.01,0.633,,0.758,0.0,0.927,0.88,0.97,0.0,11.0,10002.0,2015,0.0102041,3:15 PM,,9:00 AM
0.301932364702,0.698067605495,0.794686019421,0.606,,2.0,2.24,2.24,64.0,53.0,63.0,,75.0,66.0,61.0,,64.0,,67.0,417.0,445.0,403.0,0.349,0.104,0.219,0.275,02M300,414.0,2.0,0.615,0.073,0.052,0.063,0.06,0.295,0.063,0.592,0.017,0.208,0.034,0.0,0.0,0.009,0.018,,0.531,0.0,0.83,0.84,0.963,0.0,6.9,10019.0,2015,0.074074074,3:15 PM,,8:00 AM
0.470443338156,0.529556632042,1.0,0.573,,2.0,2.17,2.09,,,,,64.0,,,,,,,356.0,366.0,371.0,0.229,0.143,0.057,0.021,02M303,406.0,2.0,0.667,0.038,0.105,0.01,0.017,0.273,0.195,0.675,0.002,0.251,0.022,0.0,0.0,0.0,0.052,,0.381,0.0,0.83,0.9,0.952,0.0,3.9,10019.0,2015,0.15625,3:00 PM,Consortium School,8:35 AM
0.580547094345,0.419452875853,0.808510661125,0.808,1321.16666667,2.0,2.35,2.22,64.0,49.0,61.0,,74.0,78.0,65.0,,66.0,,76.0,395.0,389.0,381.0,0.244,0.267,0.2,0.256,02M305,329.0,2.0,0.872,0.033,0.217,0.067,0.058,0.419,0.033,0.492,0.003,0.188,0.027,0.0,0.0,0.0,0.038,,0.783,0.0,0.859,0.8,0.977,0.0,1.0,10002.0,2015,0.025974,3:45 PM,,8:32 AM
0.699738919735,0.300261110067,1.0,0.651,1321.16666667,2.0,2.38,2.22,66.0,44.0,64.0,70.0,77.0,60.0,66.0,,73.0,,79.0,428.0,418.0,415.0,0.198,0.169,0.138,0.244,02M308,383.0,2.0,0.674,0.062,0.185,0.077,0.086,0.282,0.042,0.569,0.026,0.3,0.031,0.0,0.0,0.0,0.128,,0.646,0.0,0.897,0.79,0.969,0.0,10.0,10002.0,2015,0.094117647,3:00 PM,,8:30 AM
1.0,0.0,0.797530889511,0.75,1478.41666667,2.0,2.3,2.19,57.0,29.0,53.0,52.0,73.0,58.0,54.0,81.0,63.0,,68.0,420.0,418.0,417.0,0.316,0.12,0.13,0.434,02M316,405.0,2.0,0.763,0.13,0.16,0.06,0.035,0.528,0.044,0.393,0.002,0.185,0.022,0.0,0.0,0.0,0.053,,0.6,0.0,0.799,0.8,0.974,0.0,10.0,10004.0,2015,0.0133333,3:30 PM,All-Girls School,8:35 AM
0.711320757866,0.288679242134,0.699999988079,0.796,1727.91666667,2.0,2.49,2.25,65.0,46.0,68.0,59.0,73.0,63.0,65.0,,69.0,,71.0,459.0,446.0,455.0,0.319,0.102,0.079,0.372,02M374,530.0,2.0,0.885,0.071,0.118,0.063,0.036,0.425,0.021,0.442,0.006,0.175,0.058,0.0,0.195,0.0,0.133,,0.433,0.0,0.865,0.76,0.969,0.0,1.0,10003.0,2015,0.0530973,3:30 PM,,8:15 AM
