,act_percent_took_exam,asian_percent,black_percent,class_grad_year,college_career_readiness_index,college_nys_private,college_nys_public,college_out_of_state,college_readiness_index,cuny_2yr,cuny_4yr,dbn,disability_percent,district_admin_code,district_geo_code,dropouts_percent,ell_percent,enrollment,grade8_english,grade8_math,graduation_rate,hispanic_percent,male_percent,post-secondary_enroll_rate,poverty_percent,public_service,regents_algebra,regents_english,sat_math,sat_percent_took_exam,sat_reading,sat_score_overall,sat_writing,school_desc,school_environment_survey,self-contained_percent,student_attendance_rate,teacher_attendance,vocational_prog,white_percent,zip_code,school_day_length
241,0.215,0.034,0.864,2015,0.626,0.108,0.195,0.185,0.505,0.089,0.179,13K670,0.053,13.0,13.0,0.0186047,0.001,916.0,3.11,2.86,0.916,0.086,0.444323152304,0.805,0.502183377743,0.0,64.0,81.0,479.0,0.855,484.0,1435.0,472.0,General Academic,0.78,0.012,0.896,0.945,0.0,0.005,11205.0,420.0
242,0.0,0.066,0.697,2015,0.734,0.0,0.023,0.047,0.613,0.02,0.326,13K674,0.205,13.0,13.0,0.0087719,0.024,458.0,2.55,2.49,0.887,0.197,0.740174651146,0.558,0.731441020966,0.0,68.0,75.0,503.0,0.185,477.0,1407.0,427.0,Career Technical,0.8,0.037,0.881,0.973,0.0,0.035,11201.0,447.0
243,0.069,0.003,0.136,2015,0.161,0.074,0.095,0.0,0.069,0.064,0.158,14K071,0.279,14.0,14.0,0.2,0.231,692.0,2.04,2.0,0.483,0.827,0.540462434292,0.463,1.0,0.0,61.0,62.0,366.0,0.563,356.0,1075.0,353.0,General Academic,0.82,0.03,0.861,0.958,0.0,0.025,11206.0,375.0
244,0.0,0.018,0.673,2015,0.0,0.04,0.0,0.0,0.054,0.032,0.08,14K322,0.327,14.0,14.0,0.277777778,0.062,113.0,2.14,1.99,0.324,0.292,0.504424750805,0.16,0.805309712887,0.0,52.0,64.0,,0.189,,,,General Academic,0.75,0.027,0.742,0.967,0.0,0.0,11206.0,420.0
245,0.373,0.361,0.194,2015,0.994,0.162,0.189,0.234,0.975,0.023,0.297,14K449,0.022,14.0,14.0,0.0,0.001,676.0,3.56,3.62,0.981,0.145,0.547337293625,0.919,0.671597659588,0.0,72.0,95.0,625.0,0.975,588.0,1804.0,591.0,General Academic,0.89,0.0,0.943,0.971,0.0,0.135,11206.0,390.0
246,0.0,0.007,0.38,2015,0.695,0.021,0.074,0.021,0.053,0.103,0.074,14K454,0.221,14.0,14.0,0.2,0.254,276.0,2.19,2.03,0.653,0.591,0.485507249832,0.347,0.818840563297,0.0,60.0,67.0,384.0,0.411,398.0,1181.0,399.0,General Academic,0.83,0.011,0.837,0.97,0.0,0.014,11206.0,450.0
247,0.014,0.01,0.351,2015,0.207,0.042,0.046,0.015,0.116,0.185,0.115,14K474,0.183,14.0,14.0,0.115384615,0.143,1098.0,2.21,2.11,0.681,0.626,0.533697605133,0.405,0.795081973076,0.0,61.0,69.0,380.0,0.449,377.0,1141.0,384.0,General Academic,0.78,0.026,0.827,0.967,0.0,0.008,11211.0,405.0
248,0.006,0.01,0.458,2015,0.152,0.011,0.077,0.027,0.101,0.091,0.104,14K477,0.189,14.0,14.0,0.235294118,0.166,598.0,2.26,2.11,0.404,0.5,0.515050172806,0.306,0.859531760216,0.0,61.0,72.0,393.0,0.348,390.0,1177.0,394.0,General Academic,0.81,0.017,0.779,0.969,0.0,0.013,11211.0,450.0
249,0.019,0.04,0.361,2015,0.774,0.084,0.144,0.044,0.32,0.226,0.212,14K478,0.161,14.0,14.0,0.101503759,0.075,1001.0,2.4,2.36,0.756,0.569,0.672327697277,0.736,0.820179820061,0.0,62.0,71.0,463.0,0.545,446.0,1334.0,425.0,General Academic,0.9,0.033,0.894,0.957,0.0,0.025,11211.0,480.0
250,0.091,0.024,0.547,2015,0.109,0.069,0.086,0.043,0.191,0.139,0.112,14K488,0.176,14.0,14.0,0.0555556,0.036,494.0,2.45,2.25,0.864,0.403,0.477732807398,0.474,0.785425126553,0.0,65.0,74.0,391.0,0.745,406.0,1188.0,391.0,General Academic,0.93,0.008,0.899,0.957,0.0,0.02,11211.0,410.0
251,0.02,0.024,0.316,2015,0.899,0.026,0.06,0.026,0.318,0.215,0.276,14K558,0.266,14.0,14.0,0.027027,0.042,595.0,2.36,2.29,0.932,0.6,0.769747912884,0.56,0.773109257221,0.0,70.0,80.0,415.0,0.601,424.0,1246.0,407.0,Career Technical,0.97,0.005,0.922,0.972,0.0,0.042,11211.0,420.0
252,0.215,0.026,0.164,2015,0.901,0.126,0.198,0.03,0.448,0.157,0.18,14K561,0.15,14.0,14.0,0.0409357,0.032,682.0,2.55,2.43,0.913,0.696,0.485337257385,0.766,0.79472142458,0.0,70.0,77.0,443.0,0.878,440.0,1313.0,430.0,General Academic,0.86,0.012,0.909,0.967,0.0,0.1,11211.0,420.0
253,0.099,0.018,0.398,2015,0.085,0.012,0.025,0.049,0.113,0.189,0.111,14K586,0.214,14.0,14.0,0.130434783,0.128,520.0,2.2,2.03,0.648,0.558,0.555769205093,0.309,0.865384638309,0.0,,69.0,374.0,0.563,376.0,1107.0,357.0,General Academic,0.84,0.003,0.799,0.969,0.0,0.024,11206.0,410.0
254,0.01,0.016,0.559,2015,0.173,0.015,0.067,0.015,0.031,0.105,0.022,14K610,0.292,14.0,14.0,0.25,0.07,383.0,2.14,2.1,0.459,0.381,0.960835516453,0.261,0.7232375741,0.0,60.0,56.0,367.0,0.316,381.0,1076.0,328.0,Career Technical,0.79,0.094,0.805,0.97,0.0,0.029,11222.0,425.0
255,0.0,0.033,0.638,2015,0.378,,,,0.333,,,14K614,0.158,14.0,14.0,0.0,0.021,380.0,2.58,2.32,1.0,0.283,0.0,,0.776315808296,,66.0,76.0,,0.0,,,,General Academic,0.85,0.0,0.922,0.975,,0.008,11206.0,435.0
256,0.341,0.007,0.627,2015,0.171,0.029,0.059,0.088,0.049,0.108,0.147,14K632,0.289,14.0,14.0,0.097560976,0.056,142.0,2.15,2.06,0.732,0.324,0.711267590523,0.412,0.866197168827,0.0,68.0,65.0,399.0,0.463,413.0,1212.0,400.0,General Academic,0.83,0.0,0.852,0.982,0.0,0.021,11222.0,420.0
257,0.0,0.0,0.118,2015,0.732,0.17,0.106,0.021,0.036,0.327,0.0,14K685,0.245,14.0,14.0,0.107142857,0.155,245.0,2.23,2.1,0.661,0.853,0.448979586363,0.383,0.81632655859,0.0,,72.0,344.0,0.625,380.0,1103.0,379.0,General Academic,0.86,0.0,0.852,0.962,0.0,0.012,11211.0,390.0
258,0.0,0.024,0.548,2015,0.353,0.06,0.1,0.02,0.088,0.081,0.08,15K429,0.259,15.0,15.0,0.117647059,0.078,250.0,2.27,2.13,0.706,0.355,0.60799998045,0.3,0.856000006199,0.0,57.0,75.0,393.0,0.618,381.0,1176.0,402.0,General Academic,0.78,0.0,0.845,0.956,0.0,0.066,11201.0,385.0
259,0.011,0.058,0.385,2015,0.886,0.109,0.196,0.098,0.534,0.133,0.13,15K448,0.275,15.0,15.0,0.0227273,0.033,685.0,2.44,2.18,0.886,0.453,0.508029222488,0.663,0.741605818272,0.0,,74.0,401.0,0.841,411.0,1216.0,404.0,General Academic,0.85,0.0,0.846,0.964,0.0,0.093,11231.0,380.0
260,0.012,0.02,0.664,2015,0.301,0.019,0.087,0.039,0.265,0.179,0.291,15K462,0.14,15.0,15.0,0.0361446,0.02,351.0,2.43,2.22,0.892,0.259,0.390313386917,0.621,0.803418815136,0.0,66.0,65.0,420.0,0.747,424.0,1258.0,414.0,General Academic,0.89,0.006,0.86,0.959,0.0,0.034,11215.0,407.0
261,0.0,0.074,0.467,2015,0.225,0.076,0.015,0.015,0.175,0.225,0.152,15K463,0.207,15.0,15.0,0.125,0.126,285.0,2.33,2.14,0.638,0.375,0.414035081863,0.409,0.785964906216,0.0,57.0,74.0,408.0,0.588,435.0,1258.0,415.0,General Academic,0.79,0.0,0.802,0.972,0.0,0.063,11215.0,407.0
262,0.0,0.079,0.464,2015,0.712,0.031,0.016,0.047,0.173,0.169,0.172,15K464,0.191,15.0,15.0,0.098039216,0.105,423.0,2.26,2.17,0.654,0.365,0.548463344574,0.469,0.773049652576,0.0,63.0,69.0,405.0,0.596,377.0,1177.0,395.0,General Academic,0.83,0.003,0.891,0.965,0.0,0.036,11215.0,420.0
263,0.143,0.042,0.479,2015,0.286,0.034,0.023,0.034,0.206,0.2,0.227,15K497,0.135,15.0,15.0,0.080645161,0.093,466.0,2.35,2.27,0.651,0.363,0.472102999687,0.557,0.729613721371,0.0,56.0,66.0,417.0,0.651,406.0,1217.0,394.0,General Academic,0.73,0.034,0.867,0.963,0.0,0.099,11201.0,405.0
264,0.021,0.045,0.638,2015,0.546,0.017,0.05,0.017,0.184,0.135,0.223,15K519,0.213,15.0,15.0,0.064285714,0.091,596.0,2.31,2.15,0.794,0.25,0.518456399441,0.405,0.874161064625,0.0,61.0,68.0,416.0,0.553,420.0,1238.0,402.0,General Academic,0.79,0.079,0.828,0.962,0.0,0.044,11201.0,420.0
265,,0.155,0.483,2015,,,,,,,,15K592,0.178,15.0,15.0,,0.328,174.0,2.21,2.07,,0.063,0.574712634087,,1.0,,62.0,67.0,,,,,,General Academic,0.89,0.017,0.898,0.967,,0.276,11217.0,420.0
266,0.065,0.017,0.703,2015,0.371,0.073,0.109,0.091,0.403,0.19,0.212,15K656,0.116,15.0,15.0,0.016129,0.013,870.0,2.61,2.41,0.927,0.225,0.275862067938,0.6,0.718390822411,0.0,67.0,77.0,439.0,0.806,441.0,1316.0,436.0,General Academic,0.75,0.03,0.911,0.973,0.0,0.02,11217.0,405.0
267,0.003,0.073,0.085,2015,0.222,0.071,0.051,0.007,0.181,0.194,0.247,15K667,0.22,15.0,15.0,0.066455696,0.164,1333.0,2.26,2.2,0.67,0.773,0.53863465786,0.576,0.786946713924,0.0,66.0,72.0,398.0,0.616,380.0,1159.0,381.0,General Academic,0.84,0.052,0.855,0.96,0.0,0.068,11232.0,405.0
268,0.0,0.095,0.26,2015,0.655,,,,0.717,,,15K684,0.11,15.0,15.0,0.0088496,0.005,566.0,3.28,2.98,0.947,0.272,0.429328620434,,0.402826845646,,72.0,90.0,553.0,0.796,551.0,1643.0,539.0,General Academic,0.89,0.004,0.939,0.975,,0.311,11215.0,390.0
269,0.0,0.011,0.826,2015,0.214,0.088,0.059,0.029,0.107,0.176,0.176,16K393,0.348,16.0,16.0,0.0357143,0.011,92.0,2.21,1.95,0.714,0.141,0.532608687878,0.382,0.804347813129,0.0,62.0,71.0,,0.429,,,,General Academic,0.9,0.13,0.789,0.972,0.0,0.011,11221.0,380.0
270,0.021,0.009,0.872,2015,0.17,0.049,0.043,0.046,0.101,0.099,0.07,16K455,0.259,16.0,16.0,0.277777778,0.049,648.0,2.14,2.02,0.5,0.086,0.654321014881,0.261,0.722222208977,0.0,63.0,71.0,399.0,0.356,392.0,1185.0,394.0,General Academic,0.82,0.127,0.784,0.968,0.0,0.017,11213.0,420.0
271,0.182,0.025,0.711,2015,0.209,0.063,0.051,0.025,0.127,0.161,0.215,16K498,0.171,16.0,16.0,0.0458716,0.027,596.0,2.38,2.21,0.727,0.238,0.615771830082,0.519,0.832214772701,0.0,60.0,72.0,395.0,0.627,401.0,1179.0,383.0,General Academic,0.73,0.018,0.902,0.971,0.0,0.012,11221.0,420.0
272,0.013,0.009,0.819,2015,0.08,0.034,0.138,0.034,0.293,0.235,0.121,16K594,0.235,16.0,16.0,0.12,0.018,226.0,2.3,2.11,0.573,0.146,0.415929198265,0.517,1.0,0.0,,76.0,377.0,0.507,396.0,1159.0,386.0,General Academic,0.8,0.009,0.777,0.963,0.0,0.013,11233.0,390.0
273,0.0,0.059,0.717,2015,0.541,0.039,0.039,0.039,0.351,0.127,0.098,16K688,0.303,16.0,16.0,0.222222222,0.112,152.0,2.11,2.03,0.622,0.204,0.585526287556,0.235,1.0,0.0,60.0,67.0,395.0,0.459,382.0,1168.0,391.0,General Academic,0.81,0.059,0.805,0.974,0.0,0.02,11221.0,417.0
274,,0.0,0.863,2015,,,,,,,,16K765,0.21,,,,0.016,124.0,2.19,2.16,,0.105,0.596774220467,,0.56451612711,,53.0,,,,,,,,,0.048,0.855,0.968,,0.024,11213.0,450.0
275,0.0,0.03,0.856,2015,0.837,,,,0.653,,,17K122,0.155,17.0,17.0,0.0,0.021,438.0,2.49,2.31,0.724,0.091,0.70319634676,,0.682648420334,,67.0,69.0,446.0,0.694,442.0,1298.0,410.0,Career Technical,0.83,0.005,0.922,0.983,,0.007,11213.0,495.0
276,0.0,0.017,0.846,2015,0.214,0.076,0.033,0.022,0.155,0.104,0.174,17K382,0.196,17.0,17.0,0.049505,0.064,505.0,2.22,2.09,0.592,0.123,0.578217804432,0.522,0.798019826412,0.0,62.0,70.0,386.0,0.573,397.0,1176.0,393.0,General Academic,0.75,0.008,0.826,0.966,0.0,0.008,11226.0,450.0
277,0.114,0.035,0.846,2015,0.114,0.028,0.085,0.042,0.114,0.057,0.141,17K408,0.232,17.0,17.0,0.075,0.158,285.0,2.14,1.98,0.633,0.102,0.459649115801,0.38,0.933333337307,0.0,63.0,64.0,374.0,0.62,385.0,1134.0,375.0,General Academic,0.74,0.018,0.825,0.966,0.0,0.011,11226.0,405.0
278,0.183,0.184,0.29,2015,0.087,0.026,0.026,0.026,0.135,0.287,0.145,17K524,0.072,17.0,17.0,0.067307692,0.874,414.0,1.79,2.02,0.692,0.389,0.577294707298,0.434,1.0,0.0,64.0,58.0,344.0,0.817,302.0,946.0,300.0,General Academic,0.89,0.005,0.871,0.959,0.0,0.133,11225.0,405.0
279,0.016,0.016,0.821,2015,0.222,0.035,0.035,0.024,0.143,0.111,0.141,17K528,0.154,17.0,17.0,0.213114754,0.146,246.0,2.22,2.05,0.587,0.13,0.524390220642,0.4,0.845528483391,0.0,62.0,56.0,377.0,0.619,386.0,1138.0,375.0,General Academic,0.84,0.008,0.874,0.981,0.0,0.028,11225.0,420.0
280,0.0,0.014,0.907,2015,0.5,0.123,0.046,0.015,0.216,0.217,0.092,17K531,0.175,17.0,17.0,0.0410959,0.052,424.0,2.32,2.19,0.811,0.065,0.485849052668,0.462,0.853773593903,0.0,64.0,71.0,398.0,0.608,411.0,1209.0,400.0,General Academic,0.86,0.003,0.913,0.958,0.0,0.01,11203.0,420.0
281,0.0,0.008,0.876,2015,0.209,0.014,0.083,0.042,0.07,0.11,0.125,17K533,0.236,17.0,17.0,0.107142857,0.054,319.0,2.25,2.14,0.535,0.074,0.551724135876,0.403,0.802507817745,0.0,56.0,66.0,386.0,0.535,385.0,1161.0,390.0,General Academic,0.77,0.019,0.799,0.968,0.0,0.023,11203.0,410.0
282,0.042,0.023,0.854,2015,0.347,0.033,0.098,0.043,0.105,0.2,0.217,17K537,0.234,17.0,17.0,0.084210526,0.073,384.0,2.2,2.05,0.8,0.089,0.6015625,0.489,0.830729186535,0.0,67.0,67.0,360.0,0.632,382.0,1101.0,359.0,General Academic,0.8,0.008,0.886,0.969,0.0,0.021,11226.0,420.0
283,0.025,0.027,0.825,2015,0.091,0.056,0.111,0.065,0.124,0.204,0.278,17K539,0.193,17.0,17.0,0.102564103,0.085,445.0,2.23,2.06,0.686,0.106,0.671910107136,0.583,0.743820250034,0.0,70.0,68.0,377.0,0.455,382.0,1115.0,356.0,General Academic,0.76,0.007,0.865,0.971,0.0,0.02,11226.0,460.0
284,0.07,0.04,0.871,2015,0.901,0.059,0.129,0.118,0.662,0.037,0.412,17K543,0.04,17.0,17.0,0.0,0.0,516.0,3.01,2.85,0.972,0.064,0.490310072899,0.8,0.782945752144,0.0,75.0,81.0,496.0,0.915,491.0,1471.0,484.0,General Academic,0.89,0.0,0.955,0.974,0.0,0.009,11226.0,405.0
285,0.0,0.083,0.75,2015,0.111,0.083,0.05,0.0,0.167,0.233,0.133,17K544,0.083,,,,0.0,12.0,2.71,2.61,0.667,0.167,0.333333343267,0.45,0.75,0.0,,,,0.556,,,,,1.0,0.0,0.937,0.969,0.0,0.0,,
286,0.13,0.053,0.758,2015,0.972,0.047,0.189,0.047,0.611,0.213,0.33,17K546,0.101,17.0,17.0,0.0183486,0.015,454.0,2.84,2.7,0.963,0.174,0.325991183519,0.811,0.828193843365,0.0,64.0,88.0,468.0,0.954,454.0,1386.0,464.0,General Academic,0.88,0.004,0.924,0.955,0.0,0.011,11203.0,405.0
287,0.007,0.053,0.801,2015,0.352,0.03,0.099,0.03,0.373,0.119,0.277,17K547,0.161,17.0,17.0,0.071428571,0.071,453.0,2.29,2.18,0.746,0.126,0.60264903307,0.574,0.783664464951,0.0,66.0,68.0,419.0,0.585,411.0,1246.0,416.0,General Academic,0.78,0.011,0.91,0.969,0.0,0.013,11225.0,465.0
288,0.0,0.008,0.826,2015,0.278,0.061,0.049,0.073,0.333,0.143,0.11,17K548,0.161,17.0,17.0,0.117021277,0.008,386.0,2.3,2.11,0.833,0.158,0.308290153742,0.39,0.847150266171,0.0,62.0,74.0,382.0,0.722,393.0,1152.0,377.0,General Academic,0.75,0.005,0.887,0.97,0.0,0.008,11225.0,410.0
289,0.059,0.029,0.909,2015,0.79,0.111,0.089,0.218,0.708,0.14,0.262,17K590,0.042,17.0,17.0,0.00456621,0.006,1271.0,3.09,2.97,0.954,0.033,0.448465764523,0.76,0.712037742138,0.0,70.0,83.0,525.0,0.89,500.0,1506.0,481.0,General Academic,0.79,0.005,0.944,0.97,0.0,0.006,11225.0,480.0
290,0.072,0.018,0.895,2015,0.417,0.043,0.082,0.046,0.198,0.184,0.307,17K600,0.168,17.0,17.0,0.0424242,0.095,1499.0,2.37,2.21,0.688,0.057,0.295530349016,0.632,0.762508332729,0.0,58.0,73.0,408.0,0.55,424.0,1239.0,407.0,Career Technical,0.73,0.08,0.88,0.971,0.0,0.009,11225.0,435.0
291,,0.016,0.941,2015,,,,,,,,17K745,0.194,17.0,17.0,,0.067,253.0,2.24,2.08,,0.032,0.486166000366,,0.873517811298,,68.0,73.0,,,,,,General Academic,0.85,0.008,0.938,0.974,,0.004,11203.0,420.0
292,0.012,0.016,0.855,2015,0.086,0.0,0.097,0.032,0.123,0.129,0.226,17K751,0.139,17.0,17.0,0.111111111,0.027,373.0,2.39,2.24,0.728,0.088,0.286863267422,0.484,0.871313691139,0.0,66.0,70.0,406.0,0.481,405.0,1207.0,396.0,Career Technical,0.76,0.032,0.844,0.963,0.0,0.008,11213.0,375.0
293,0.185,0.005,0.903,2015,0.748,0.163,0.041,0.061,0.185,0.2,0.378,18K563,0.129,18.0,18.0,0.025,0.196,566.0,2.39,2.24,0.924,0.057,0.581272065639,0.786,0.745583057404,0.01,63.0,76.0,364.0,0.622,374.0,1099.0,361.0,General Academic,0.82,0.007,0.918,0.968,0.0,0.011,11203.0,480.0
294,0.012,0.017,0.85,2015,0.159,0.031,0.083,0.021,0.171,0.138,0.052,18K566,0.245,18.0,18.0,0.097560976,0.08,286.0,2.24,2.07,0.683,0.087,0.59790211916,0.365,0.755244731903,0.0,62.0,72.0,392.0,0.5,406.0,1201.0,403.0,General Academic,0.83,0.038,0.915,0.964,0.0,0.014,11236.0,410.0
295,0.149,0.005,0.82,2015,0.702,0.14,0.07,0.058,0.16,0.19,0.151,18K567,0.182,18.0,18.0,0.086021505,0.038,395.0,2.29,2.06,0.702,0.132,0.341772139072,0.5,0.840506315231,0.0,64.0,68.0,379.0,0.691,393.0,1145.0,373.0,General Academic,0.8,0.013,0.847,0.97,0.0,0.018,11236.0,413.0
296,0.012,0.012,0.912,2015,0.595,0.051,0.203,0.017,0.071,0.218,0.119,18K569,0.205,18.0,18.0,0.072289157,0.038,341.0,2.3,2.11,0.762,0.067,0.595307946205,0.559,0.724340200424,0.0,65.0,69.0,378.0,0.726,394.0,1160.0,388.0,General Academic,0.84,0.003,0.909,0.94,0.0,0.003,11203.0,420.0
297,0.026,0.009,0.888,2015,0.221,0.026,0.156,0.039,0.091,0.147,0.143,18K576,0.199,18.0,18.0,0.0526316,0.018,331.0,2.32,2.14,0.727,0.063,0.598187327385,0.494,0.679758310318,0.0,63.0,67.0,386.0,0.727,408.0,1196.0,402.0,General Academic,0.89,0.003,0.909,0.971,0.0,0.012,11236.0,420.0
298,0.049,0.011,0.828,2015,0.654,0.036,0.018,0.018,0.074,0.175,0.091,18K589,0.194,18.0,18.0,0.15,0.039,279.0,2.29,2.06,0.481,0.125,0.469534039497,0.291,0.817204296589,0.0,59.0,71.0,370.0,0.642,383.0,1127.0,374.0,General Academic,0.79,0.007,0.843,0.97,0.0,0.014,11203.0,410.0
299,0.136,0.013,0.858,2015,0.636,0.03,0.121,0.03,0.273,0.213,0.227,18K617,0.198,18.0,18.0,0.075757576,0.059,303.0,2.2,2.06,0.803,0.096,0.65016502142,0.53,0.755775570869,0.0,66.0,68.0,390.0,0.591,410.0,1197.0,397.0,Career Technical,0.85,0.023,0.868,0.957,0.0,0.026,11236.0,435.0
300,0.04,0.006,0.904,2015,0.453,0.026,0.026,0.079,0.133,0.164,0.053,18K629,0.221,18.0,18.0,0.081081081,0.059,353.0,2.21,2.1,0.613,0.085,0.575070798397,0.434,0.730878174305,0.0,63.0,72.0,382.0,0.573,395.0,1161.0,384.0,General Academic,0.79,0.006,0.836,0.955,0.0,0.006,11203.0,420.0
301,0.019,0.028,0.819,2015,0.155,0.084,0.101,0.059,0.146,0.182,0.193,18K633,0.141,18.0,18.0,0.0291262,0.023,432.0,2.51,2.34,0.951,0.132,0.310185194016,0.647,0.925925910473,0.0,65.0,72.0,404.0,0.602,427.0,1255.0,424.0,General Academic,0.81,0.0,0.918,0.97,0.0,0.002,11236.0,420.0
302,0.079,0.016,0.86,2015,0.048,0.081,0.048,0.016,0.127,0.175,0.065,18K637,0.231,18.0,18.0,0.096774194,0.071,308.0,2.23,2.1,0.825,0.097,0.610389590263,0.371,0.779220759869,0.0,62.0,73.0,381.0,0.508,397.0,1168.0,390.0,General Academic,0.8,0.016,0.846,0.977,0.0,0.013,11236.0,406.0
303,0.0,0.029,0.79,2015,0.077,0.072,0.012,0.012,0.051,0.13,0.145,18K642,0.201,18.0,18.0,0.090909091,0.107,309.0,2.22,2.09,0.603,0.123,0.686084151268,0.386,0.721682846546,0.0,58.0,68.0,362.0,0.449,396.0,1151.0,393.0,General Academic,0.8,0.039,0.836,,0.0,0.042,11236.0,430.0
304,0.024,0.015,0.731,2015,0.188,0.093,0.067,0.12,0.059,0.064,0.067,19K404,0.164,19.0,19.0,0.070588235,0.01,547.0,2.58,2.16,0.753,0.219,0.34734916687,0.467,0.758683741093,0.0,57.0,76.0,382.0,0.812,413.0,1186.0,391.0,General Academic,0.78,0.0,0.89,0.965,0.0,0.012,11208.0,385.0
305,0.087,0.022,0.676,2015,0.319,0.0,0.109,0.0,0.319,0.15,0.236,19K409,0.144,19.0,19.0,0.0,0.025,479.0,2.51,2.48,0.87,0.295,0.49686846137,0.545,0.759916484356,0.0,64.0,78.0,464.0,0.667,451.0,1336.0,421.0,General Academic,0.8,0.0,0.88,0.982,0.0,0.004,11207.0,420.0
306,0.169,0.012,0.716,2015,0.354,0.0,0.032,0.032,0.369,0.2,0.063,19K502,0.259,19.0,19.0,0.125,0.046,324.0,2.14,2.03,0.738,0.244,0.762345671654,0.295,0.848765432835,0.0,61.0,71.0,365.0,0.477,369.0,1091.0,357.0,General Academic,0.83,0.031,0.806,0.948,0.0,0.019,11207.0,420.0
307,0.009,0.003,0.74,2015,0.179,0.016,0.032,0.04,0.17,0.127,0.048,19K504,0.285,19.0,19.0,0.125,0.078,319.0,2.15,1.99,0.679,0.229,0.576802492142,0.21,0.733542323112,0.0,60.0,56.0,391.0,0.264,373.0,1140.0,376.0,General Academic,0.87,0.009,0.754,0.97,0.0,0.019,11207.0,435.0
308,0.009,0.002,0.808,2015,0.167,0.027,0.089,0.045,0.093,0.078,0.098,19K507,0.207,19.0,19.0,0.0566038,0.025,406.0,2.24,2.09,0.694,0.182,0.428571432829,0.321,0.923645317554,0.0,58.0,74.0,375.0,0.398,393.0,1162.0,394.0,General Academic,0.78,0.032,0.812,0.971,0.0,0.005,11207.0,415.0
309,0.0,0.025,0.757,2015,0.307,0.019,0.047,0.019,0.102,0.087,0.159,19K510,0.236,19.0,19.0,0.102272727,0.113,284.0,2.2,2.08,0.682,0.19,0.401408463717,0.355,0.806338012218,0.0,61.0,65.0,380.0,0.409,389.0,1153.0,384.0,General Academic,0.78,0.011,0.812,0.976,0.0,0.014,11207.0,375.0
310,0.0,0.0,0.0,2015,0.343,0.03,0.059,0.03,0.029,0.193,0.129,19K583,0.022,19.0,19.0,0.376811594,0.9,229.0,1.76,1.95,0.543,0.996,0.519650638103,0.327,0.965065479279,0.0,61.0,58.0,319.0,0.286,323.0,926.0,284.0,General Academic,0.84,0.004,0.848,0.966,0.0,0.004,11208.0,420.0
311,0.017,0.061,0.636,2015,0.368,0.015,0.097,0.019,0.09,0.186,0.16,19K615,0.236,19.0,19.0,0.065502183,0.048,1093.0,2.24,2.15,0.577,0.272,0.860933184624,0.39,0.745654165745,0.0,58.0,77.0,387.0,0.372,387.0,1158.0,384.0,Career Technical,0.74,0.068,0.856,0.955,0.0,0.013,11208.0,375.0
312,0.043,0.053,0.455,2015,0.261,0.034,0.08,0.0,0.122,0.264,0.17,19K618,0.242,19.0,19.0,0.0614035,0.099,413.0,2.24,2.1,0.783,0.455,0.799031496048,0.489,0.796610176563,0.0,61.0,70.0,395.0,0.574,376.0,1130.0,359.0,Career Technical,0.86,0.024,0.823,0.973,0.0,0.012,11208.0,405.0
313,0.011,0.054,0.356,2015,0.181,0.009,0.074,0.009,0.106,0.194,0.111,19K639,0.234,19.0,19.0,0.247311828,0.177,334.0,2.18,2.04,0.543,0.569,0.634730517864,0.38,0.832335352898,0.0,57.0,61.0,383.0,0.468,376.0,1129.0,370.0,General Academic,0.77,0.009,0.736,0.942,0.0,0.009,11208.0,409.0
314,0.01,0.045,0.197,2015,0.712,0.01,0.049,0.01,0.096,0.236,0.088,19K659,0.188,19.0,19.0,0.192307692,0.209,330.0,2.21,2.04,0.577,0.712,0.551515161991,0.382,0.845454573631,0.0,62.0,66.0,365.0,0.538,370.0,1097.0,362.0,General Academic,0.79,0.009,0.783,0.944,0.0,0.033,11208.0,410.0
315,0.0,0.01,0.696,2015,0.264,0.014,0.029,0.0,0.132,0.151,0.071,19K660,0.3,19.0,19.0,0.153846154,0.059,506.0,2.1,2.0,0.582,0.281,0.286561250687,0.271,0.859683811665,0.0,63.0,65.0,326.0,0.385,333.0,1009.0,350.0,Career Technical,0.82,0.176,0.734,0.959,0.0,0.006,11207.0,427.0
316,0.139,0.078,0.607,2015,0.319,0.033,0.033,0.011,0.375,0.182,0.132,19K683,0.218,19.0,19.0,0.084507042,0.136,308.0,2.34,2.09,0.806,0.26,0.366883128881,0.374,0.889610409737,0.0,69.0,69.0,387.0,0.528,391.0,1161.0,383.0,General Academic,0.84,0.13,0.839,0.966,0.0,0.042,11208.0,420.0
317,,0.113,0.403,2015,,,,,,,,19K764,0.097,,,,0.097,62.0,2.45,2.2,,0.323,0.338709682226,,0.741935491562,,60.0,,,,,,,,,0.0,0.888,0.98,,0.048,11208.0,420.0
318,0.06,0.386,0.04,2015,0.436,0.037,0.061,0.015,0.353,0.213,0.274,20K445,0.166,20.0,20.0,0.071989529,0.201,3480.0,2.42,2.55,0.743,0.29,0.58275860548,0.563,0.750287353992,0.0,70.0,71.0,488.0,0.632,422.0,1327.0,417.0,General Academic,0.81,0.065,0.883,0.966,0.0,0.276,11214.0,420.0
